relationship_id,nlcs_id,relationship_type,related_brim_layer_family,related_feature_identifier,related_feature_name,source_or_spatial_derivation_method,evidence_title,evidence_url,verification_date,confidence,brim_should_calculate_from_current_local_data,normal_popup_suitable,notes
REL-NLCS002016-SPATIAL-ACECS,NLCS002016,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002016,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002016,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002016-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002016,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-NCLS,NLCS002017,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002017-CDCA,NLCS002017,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002017-DRECP,NLCS002017,source_document_relationship,DRECP,,DRECP ecoregion subarea Piute Valley and Sacramento Mountains,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact name match.
REL-NLCS002017-SPATIAL-NATIONAL-MONUMENTS,NLCS002017,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-FEDERAL-WILDERNESS,NLCS002017,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002017,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-ACECS,NLCS002017,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002017,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002017,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002017-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002017,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-NCLS,NLCS002018,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002018-CDCA,NLCS002018,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002018-DRECP,NLCS002018,source_document_relationship,DRECP,,DRECP ecoregion subarea South Mojave-Amboy,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Reviewed punctuation-only match: source spaced hyphen; DRECP closed hyphen.
REL-NLCS002018-SPATIAL-NATIONAL-MONUMENTS,NLCS002018,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-FEDERAL-WILDERNESS,NLCS002018,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002018,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-ACECS,NLCS002018,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002018,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002018,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002018-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002018,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-NCLS,NLCS002019,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002019-CDCA,NLCS002019,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002019-DRECP,NLCS002019,source_document_relationship,DRECP,,DRECP ecoregion subarea Western Desert and Eastern Slope,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Reviewed semantic/name variant: source uses “West” and plural “Slopes”; DRECP uses “Western” and singular “Slope”.
REL-NLCS002019-SPATIAL-NATIONAL-MONUMENTS,NLCS002019,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-FEDERAL-WILDERNESS,NLCS002019,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002019,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-ACECS,NLCS002019,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002019,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002019,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002019-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002019,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
